Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,a2,29,2024-01-21t10:40:00.000,2024-01-21t11:01:00.000,2024-01-21t11:09:00.000,yuy,,2024-01-21t12:04:00.000,2024-01-21t12:10:00.000,air canada,7985,ac7985
departure,active,yul,c81,19,2024-01-21t10:45:00.000,2024-01-21t11:11:00.000,2024-01-21t11:04:00.000,lga,b,2024-01-21t12:31:00.000,2024-01-21t11:52:00.000,american airlines,4550,aa4550
departure,active,yul,a12,18,2024-01-21t10:45:00.000,2024-01-21t10:45:00.000,2024-01-21t11:02:00.000,ytz,,2024-01-21t12:10:00.000,2024-01-21t12:06:00.000,porter,2460,p32460
departure,active,yul,55,62,2024-01-21t11:00:00.000,2024-01-21t12:02:00.000,,ptp,,2024-01-21t16:50:00.000,,air france,625,af625
departure,active,yul,a64,31,2024-01-21t11:00:00.000,2024-01-21t11:33:00.000,2024-01-21t11:30:00.000,lir,,2024-01-21t16:00:00.000,2024-01-21t16:02:00.000,air transat,600,ts600
departure,active,yul,a7,10,2024-01-21t11:00:00.000,2024-01-21t11:00:00.000,2024-01-21t11:10:00.000,yow,,2024-01-21t11:49:00.000,2024-01-21t11:32:00.000,air canada,8003,ac8003
departure,active,yul,c80,33,2024-01-21t11:08:00.000,2024-01-21t11:46:00.000,2024-01-21t11:40:00.000,ewr,c,2024-01-21t13:11:00.000,2024-01-21t12:42:00.000,air canada,4604,ac4604
departure,active,yul,a47,70,2024-01-21t11:10:00.000,2024-01-21t12:20:00.000,,yyz,1,2024-01-21t13:46:00.000,,sa avianca,6900,av6900
departure,active,yul,c86,34,2024-01-21t12:20:00.000,2024-01-21t12:57:00.000,2024-01-21t12:54:00.000,jfk,4,2024-01-21t14:02:00.000,2024-01-21t13:57:00.000,air france,6856,af6856
departure,active,yul,a6,0,2024-01-21t12:25:00.000,2024-01-21t12:21:00.000,,yyz,3,2024-01-21t13:55:00.000,,air transat,7726,ts7726
departure,active,yul,a8,24,2024-01-21t12:25:00.000,2024-01-21t12:40:00.000,2024-01-21t12:48:00.000,ytz,,2024-01-21t13:50:00.000,2024-01-21t13:48:00.000,air transat,7866,ts7866
departure,active,yul,c81,5,2024-01-21t12:55:00.000,2024-01-21t13:17:00.000,2024-01-21t12:59:00.000,phl,f,2024-01-21t14:50:00.000,2024-01-21t13:49:00.000,qatar airways,2946,qr2946
