Status,Departure Gate,Arrival IATA Code,Scheduled Departure Time,Departure Delay (min),Airline Name,Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather Main,Rain 1h,Snow 1h
landed,C83,DCA,2024-02-11 08:00:00,15.0,Air Canada,2.78,1.03,1009,82,1.79,270,100,Clouds,0.0,0.0
landed,C82,DCA,2024-02-11 13:00:00,15.0,Air Canada,1.92,-1.3,1011,82,3.13,248,99,Clouds,0.0,0.0
landed,C76,DCA,2024-02-11 19:00:00,19.0,Air Canada,2.71,-0.68,1011,76,3.58,248,100,Clouds,0.0,0.0
landed,A60,DEL,2024-02-11 20:00:00,26.0,Air Canada,2.53,-0.19,1011,75,2.68,248,100,Clouds,0.0,0.0
landed,C77,DFW,2024-02-11 18:00:00,23.0,Air Canada,3.06,-0.54,1011,75,4.02,270,83,Clouds,0.0,0.0
landed,A55,DOH,2024-02-11 20:00:00,22.0,Qatar Airways,2.53,-0.19,1011,75,2.68,248,100,Clouds,0.0,0.0
cancelled,,DTW,2024-02-11 16:00:00,6.0,NetJets Aviation,2.77,-2.63,1011,74,7.72,260,100,Clouds,0.0,0.0
landed,C89,DTW,2024-02-11 13:00:00,16.0,Air Canada,1.92,-1.3,1011,82,3.13,248,99,Clouds,0.0,0.0
landed,C84,DTW,2024-02-11 06:00:00,13.0,Delta Air Lines,3.12,0.92,1008,83,2.24,270,98,Clouds,0.0,0.0
landed,C86,DTW,2024-02-11 13:00:00,9.0,Delta Air Lines,1.92,-1.3,1011,82,3.13,248,99,Clouds,0.0,0.0
landed,,DTW,2024-02-11 02:00:00,,Kalitta Charters II,3.9,0.67,1007,81,3.73,265,100,Clouds,0.0,0.0
landed,,EWR,2024-02-15 20:00:00,6.0,Air Canada,-3.03,-3.03,1015,54,1.17,159,100,Clouds,0.0,0.0
scheduled,,EWR,2024-02-15 20:00:00,21.0,Jazz,-3.03,-3.03,1015,54,1.17,159,100,Clouds,0.0,0.0
scheduled,,EWR,2024-02-15 11:00:00,,United Airlines,-10.49,-10.49,1022,71,0.89,270,13,Clouds,0.0,0.0
landed,C83,EWR,2024-02-15 07:00:00,17.0,United Airlines,-8.57,-12.08,1022,61,1.79,270,7,Clear,0.0,0.0
unknown,,EWR,2024-02-15 07:00:00,,United Airlines,-8.57,-12.08,1022,61,1.79,270,7,Clear,0.0,0.0
landed,C80,EWR,2024-02-15 11:00:00,13.0,United Airlines,-10.49,-10.49,1022,71,0.89,270,13,Clouds,0.0,0.0
landed,A58,FDF,2024-02-15 09:00:00,21.0,Air Canada,-9.92,-9.92,1022,65,0.89,270,13,Clouds,0.0,0.0
active,A67,FDF,2024-02-15 07:00:00,20.0,Air Transat,-8.57,-12.08,1022,61,1.79,270,7,Clear,0.0,0.0
landed,C56,FLL,2024-02-15 08:00:00,21.0,Air Canada,-9.33,-12.04,1022,63,1.34,270,11,Clouds,0.0,0.0
landed,C56,FLL,2024-02-15 13:00:00,21.0,Air Canada,-9.69,-13.38,1022,73,1.79,270,15,Clouds,0.0,0.0
scheduled,C85,FLL,2024-02-15 14:00:00,177.0,Flair Airlines,-8.23,-11.69,1022,68,1.79,248,14,Clouds,0.0,0.0
landed,C76,FLL,2024-02-15 07:00:00,22.0,Air Canada Rouge,-8.57,-12.08,1022,61,1.79,270,7,Clear,0.0,0.0
landed,C79,FLL,2024-02-15 16:00:00,11.0,Air Canada Rouge,-5.32,-7.51,1020,57,1.34,270,15,Clouds,0.0,0.0
landed,C56,FLL,2024-02-15 06:00:00,6.0,Air Transat,-8.17,-11.62,1021,60,1.79,293,9,Clear,0.0,0.0
landed,C74,FLL,2024-02-15 16:00:00,5.0,Air Transat,-5.32,-7.51,1020,57,1.34,270,15,Clouds,0.0,0.0
landed,A61,FRA,2024-02-15 18:00:00,7.0,Air Canada,-3.92,-5.92,1018,57,1.34,270,41,Clouds,0.0,0.0
landed,A60,GRU,2024-02-15 21:00:00,56.0,Air Canada,-3.3,-3.3,1013,57,0.89,113,100,Clouds,0.0,0.0
landed,A61,GVA,2024-02-15 20:00:00,21.0,Air Canada,-3.03,-3.03,1015,54,1.17,159,100,Clouds,0.0,0.0
