Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number,Timestamp,Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather Main,Weather Description,Rain 1h,Snow 1h
scheduled,YUL,,DTW,2024-03-23 08:00:00,2024-03-23 09:00:00,107.0,Sunwing,WG9076,2024-03-23 08:00:00,-6.31,-11.68,1025,81,3.6,110,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,A63,DXB,2024-03-23 10:00:00,2024-03-23 11:00:00,50.0,Emirates,EK244,2024-03-23 10:00:00,-6.74,-13.74,1024,88,5.66,40,100,Snow,light snow,0.0,0.18
scheduled,YUL,,JFK,2024-03-29 18:00:00,,21.0,Jazz,QK898,2024-03-29 18:00:00,7.74,3.97,1005,45,7.2,260,40,Clouds,scattered clouds,0.0,0.0
landed,YUL,C83,LAS,2024-03-29 09:00:00,2024-03-29 09:00:00,39.0,Air Canada,AC1273,2024-03-29 09:00:00,0.55,0.55,1010,81,0.89,248,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,C77,LAS,2024-03-29 19:00:00,2024-03-29 20:00:00,21.0,Air Canada,AC1276,2024-03-29 19:00:00,8.79,6.73,1005,45,3.58,293,88,Clouds,overcast clouds,0.0,0.0
active,YUL,,LAS,2024-03-29 09:00:00,,,Delta Air Lines,DL612,2024-03-29 09:00:00,0.55,0.55,1010,81,0.89,248,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,C76,LAS,2024-03-29 08:00:00,2024-03-29 08:00:00,24.0,Air Canada Rouge,RV1707,2024-03-29 08:00:00,1.2,1.2,1010,78,0.45,248,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,C56,LAX,2024-03-29 17:00:00,2024-03-29 18:00:00,45.0,Air Canada,AC781,2024-03-29 17:00:00,7.45,3.29,1007,49,8.23,240,40,Clouds,scattered clouds,0.0,0.0
scheduled,YUL,,LGA,2024-03-29 20:00:00,,35.0,empty,,2024-03-29 20:00:00,9.29,7.34,1004,42,3.58,270,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,C83,LGA,2024-03-29 07:00:00,2024-03-29 07:00:00,32.0,American Airlines,AA4469,2024-03-29 07:00:00,1.77,1.77,1012,77,0.89,248,100,Clouds,overcast clouds,0.0,0.0
